Startup Name,Industry,Total Funding (M$),Number of Investors,Investor Reputation,Growth Rate (%),Revenue (M$),Market Size,Years Since Founded,Success Score
FinDataAI,EdTech,455.59,6,9.37,34.6,71.13,Medium,8,7.35
AgriFinanceTech,EdTech,466.33,12,9.67,11.08,55.07,Medium,5,86.53
NeuroLabHub,Quantum Computing,434.28,15,3.67,62.28,8.87,Small,15,95.09
NeuroLabHub,AgriTech,197.06,12,1.87,78.21,52.81,Medium,13,30.88
NeuroAIAI,GreenTech,250.13,13,4.9,65.01,35.23,Medium,20,80.28
TechConnectSystems,EdTech,302.76,6,9.61,4.54,49.71,Medium,20,40.32
SmartConnectAI,AgriTech,413.82,9,2.69,77.38,0.75,Medium,10,89.88
NeuroDataInnovations,AgriTech,419.65,5,1.75,41.43,62.13,Medium,4,68.02
HyperAISystems,EdTech,419.59,9,6.82,49.3,40.48,Medium,3,73.47
SmartLabAnalytics,FinTech,168.71,9,5.33,41.2,77.09,Small,19,87.37
NeuroHealthHub,EdTech,376.65,11,7.01,35.78,93.56,Medium,1,22.73
InnoGrowthInc,Quantum Computing,418.28,12,1.31,38.55,2.63,Medium,4,95.43
GreenHealthTech,Healthcare,473.26,3,1.72,78.33,24.89,Medium,1,43.97
TechCloudTech,Healthcare,218.18,4,8.37,6.66,58.73,Small,8,31.64
NeuroCloudHub,Autonomous Vehicles,10.29,12,2.07,38.72,98.38,Large,13,83.01
QuantumHealthAnalytics,Quantum Computing,194.95,7,7.99,51.57,24.55,Large,11,20.3
SmartConnectVentures,GreenTech,119.71,8,8.76,1.49,55.42,Large,4,83.76
HyperAIInnovations,AI,426.23,2,6.27,36.08,17.56,Small,2,10.82
GreenCloudSystems,Healthcare,286.03,15,7.78,73.56,19.46,Large,17,54.89
InnoFinanceAnalytics,EdTech,211.67,11,8.19,2.97,99.45,Large,13,21.72
SmartEdgeSystems,EdTech,148.84,5,9.67,64.7,96.62,Large,15,47.23
SmartSphereVentures,Autonomous Vehicles,466.94,14,6.46,44.44,28.13,Large,14,14.34
NeuroEdgeSystems,FinTech,271.41,15,1.41,74.78,62.25,Large,6,33.53
AgriDataSolutions,AI,32.17,6,7.4,2.87,74.94,Large,6,8.7
NeuroHealthHub,Autonomous Vehicles,326.77,7,7.2,24.15,35.74,Medium,4,15.26
InnoSphereSolutions,Quantum Computing,63.19,10,1.13,41.59,70.94,Small,13,81.77
SmartGrowthNetwork,FinTech,321.67,14,6.36,39.35,6.15,Medium,11,60.89
SmartCloudInc,Autonomous Vehicles,466.42,3,1.34,43.75,75.57,Large,20,18.77
TechSphereNetwork,EdTech,119.53,4,9.87,12.79,33.66,Medium,9,5.16
InnoCloudInc,Quantum Computing,464.63,14,7.44,75.76,78.71,Medium,3,14.24
AgriGrowthNetwork,Cybersecurity,220.51,3,6.93,19.25,58.11,Small,19,37.9
HyperHealthTech,GreenTech,436.29,3,2.2,12.6,37.55,Medium,13,96.51
InnoGrowthInc,GreenTech,376.32,1,2.45,62.07,85.87,Medium,9,17.19
TechConnectInc,EdTech,359.79,6,6.93,49.74,73.26,Large,17,22.41
TechEdgeNetwork,EdTech,118.87,7,2.82,32.69,41.78,Medium,6,18.14
AgriHealthInnovations,FinTech,21.26,13,7.47,63.15,12.06,Medium,14,40.97
AgriGrowthNetwork,AI,298.53,6,1.23,18.29,85.09,Small,4,94.69
HyperLabTech,Autonomous Vehicles,272.7,12,2.05,46.8,50.55,Large,19,16.29
SmartCloudHub,AgriTech,255.28,2,6.97,78.38,37.46,Medium,14,93.26
HyperHealthTech,Autonomous Vehicles,10.73,5,4.59,16.31,58.58,Small,10,71.15
NeuroHealthInc,AI,258.32,6,4.82,49.85,65.62,Large,13,33.38
HyperEdgeSolutions,Healthcare,209.51,3,9.31,41.78,58.15,Medium,4,88.24
NextGrowthVentures,Quantum Computing,157.9,13,3.14,45.67,72.58,Large,4,52.99
HyperGrowthInc,GreenTech,446.81,12,6.62,6.09,41.11,Medium,6,42.8
InnoLabHub,AgriTech,287.8,7,2.44,53.48,40.56,Small,1,47.6
AgriFinanceSolutions,Healthcare,156.28,3,5.95,8.2,39.17,Large,4,15.72
TechFinanceTech,Healthcare,102.28,13,5.5,67.91,74.24,Small,18,19.84
NeuroHealthInnovations,Healthcare,478.22,11,5.15,39.02,33.41,Medium,19,86.97
NeuroLabNetwork,AI,290.02,9,6.8,35.11,68.52,Medium,18,60.72
InnoLabTech,Quantum Computing,126.94,11,3.03,57.53,83.33,Medium,8,73.77
FinEdgeVentures,Healthcare,260.44,12,9.21,17.3,97.24,Medium,20,24.54
FinSphereTech,AI,157.27,10,6.22,21.82,44.65,Large,18,82.78
HyperCloudInc,FinTech,280.22,9,8.91,10.29,0.11,Medium,17,40.88
NextCloudInnovations,FinTech,63.46,11,5.74,63.51,45.99,Small,10,18.71
InnoHealthInnovations,Autonomous Vehicles,55.22,1,4.58,37.91,34.59,Medium,1,74.46
SmartEdgeAI,FinTech,277.05,1,3.72,33.05,27.66,Medium,3,38.47
InnoSphereHub,FinTech,390.68,11,2.56,12.45,84.72,Medium,16,71.48
QuantumCloudInc,Autonomous Vehicles,324.37,12,8.13,2.13,42.59,Medium,10,29.77
HyperCloudHub,AgriTech,229.48,8,2.0,29.55,95.39,Large,12,77.14
QuantumConnectSolutions,Cybersecurity,144.55,2,4.87,38.64,94.95,Medium,15,2.85
HyperLabTech,Healthcare,105.1,6,4.02,61.93,52.75,Medium,6,3.98
FinSphereSystems,GreenTech,102.8,4,7.75,18.7,41.64,Medium,12,96.31
NextAIInc,AI,136.6,2,3.62,37.46,4.88,Large,17,11.67
InnoSphereAnalytics,GreenTech,98.64,15,1.0,59.34,60.39,Small,9,31.54
HyperCloudInnovations,EdTech,185.71,7,4.73,31.79,55.2,Medium,13,97.23
TechEdgeNetwork,AgriTech,449.29,6,3.56,20.48,86.34,Small,9,37.59
QuantumHealthSystems,AgriTech,215.6,14,8.98,48.28,34.46,Medium,14,41.12
SmartSphereHub,Autonomous Vehicles,492.26,2,4.24,56.53,34.18,Large,17,93.98
QuantumDataAI,Autonomous Vehicles,37.66,12,9.37,31.14,42.59,Small,19,92.24
NeuroCloudSystems,GreenTech,485.78,15,7.11,51.71,35.98,Large,16,88.02
HyperLabAnalytics,Healthcare,389.23,1,5.59,58.81,61.56,Medium,16,88.83
NeuroSphereSolutions,GreenTech,180.96,3,3.08,51.83,44.21,Large,1,4.87
FinEdgeInc,Cybersecurity,450.77,12,9.93,74.14,8.22,Medium,17,88.49
HyperAIAI,Healthcare,253.35,8,9.02,28.69,74.53,Medium,17,33.03
TechCloudInnovations,Autonomous Vehicles,338.3,1,7.45,45.79,46.4,Medium,13,43.87
SmartSphereSystems,EdTech,318.94,15,9.79,78.07,38.37,Medium,18,71.79
SmartSphereVentures,FinTech,213.04,2,5.94,58.64,24.32,Small,10,90.37
HyperCloudAI,AgriTech,331.02,5,6.59,60.46,66.83,Small,13,67.43
QuantumLabInc,Healthcare,91.43,2,1.08,11.91,82.77,Large,9,46.83
QuantumHealthTech,GreenTech,332.33,7,5.45,48.38,18.64,Large,1,97.57
NextCloudVentures,Autonomous Vehicles,58.97,11,7.81,30.22,3.13,Medium,3,0.5
FinSphereInnovations,GreenTech,261.33,13,2.37,72.28,65.12,Small,13,99.16
HyperDataVentures,AgriTech,418.18,3,3.5,75.99,45.66,Small,19,83.01
NeuroAIInc,Autonomous Vehicles,42.65,11,2.22,46.67,26.4,Medium,6,75.12
AgriFinanceVentures,FinTech,383.01,8,8.67,40.82,53.86,Large,4,10.62
FinFinanceAI,AgriTech,252.6,10,7.32,77.94,71.37,Small,13,20.5
AgriAITech,AgriTech,66.87,9,8.37,27.26,38.46,Large,2,37.44
NeuroEdgeTech,FinTech,94.17,7,1.12,69.69,84.51,Large,14,12.27
TechAISolutions,Healthcare,270.51,13,9.18,44.63,55.49,Small,14,76.16
TechConnectInnovations,Healthcare,47.45,1,2.02,70.48,46.82,Medium,20,74.75
FinSphereSolutions,AI,428.22,15,6.26,53.04,96.27,Small,1,26.01
InnoFinanceInnovations,GreenTech,174.01,11,9.26,30.56,59.49,Medium,19,9.87
FinLabHub,Cybersecurity,478.28,3,1.5,75.26,0.28,Medium,16,90.87
NeuroHealthVentures,Autonomous Vehicles,313.78,9,5.59,56.94,76.84,Large,18,18.4
FinConnectSystems,FinTech,392.37,6,2.57,59.63,47.72,Medium,19,0.99
SmartSphereAnalytics,EdTech,237.18,13,2.06,30.83,63.38,Small,20,5.54
TechSphereSolutions,Autonomous Vehicles,36.23,11,1.31,1.99,73.89,Medium,6,30.34
InnoDataTech,Cybersecurity,348.77,11,1.65,13.33,59.44,Small,20,5.8
FinGrowthSolutions,Healthcare,399.12,3,3.63,42.86,8.69,Small,17,65.35
NeuroEdgeInnovations,GreenTech,89.88,1,2.06,19.17,46.64,Small,7,31.2
FinDataSystems,GreenTech,52.24,8,9.35,22.4,35.17,Medium,15,43.25
NeuroDataAnalytics,AgriTech,74.89,5,4.29,31.28,13.01,Large,16,0.31
SmartConnectVentures,AgriTech,76.87,9,6.98,64.74,53.6,Large,15,22.81
QuantumCloudTech,GreenTech,167.86,9,2.43,14.33,45.32,Medium,7,20.24
TechCloudAI,EdTech,228.09,11,2.57,30.94,26.18,Small,11,53.45
NextEdgeNetwork,Cybersecurity,421.9,6,4.27,76.76,83.08,Large,14,73.49
GreenFinanceAnalytics,Quantum Computing,442.34,3,5.18,23.4,97.24,Large,2,55.45
NeuroGrowthSolutions,FinTech,48.71,10,5.45,52.72,44.79,Medium,9,21.01
InnoLabTech,AI,270.39,5,3.27,49.99,91.06,Medium,18,55.4
TechLabNetwork,AgriTech,136.23,3,4.14,48.88,9.37,Small,13,0.61
TechGrowthSolutions,Autonomous Vehicles,376.95,14,2.3,43.87,4.0,Large,8,82.05
HyperSphereSolutions,AI,248.47,7,8.84,8.44,85.37,Small,3,56.16
AgriFinanceSolutions,Cybersecurity,457.42,12,7.16,8.54,95.45,Medium,8,71.16
GreenHealthVentures,GreenTech,7.09,14,1.16,40.97,90.41,Small,1,31.48
FinConnectInnovations,GreenTech,22.71,6,2.39,34.84,90.13,Medium,16,85.8
NeuroFinanceVentures,AgriTech,50.52,4,3.21,45.01,78.74,Large,2,77.73
QuantumDataVentures,Cybersecurity,183.7,2,8.06,3.2,80.47,Small,6,4.93
SmartSphereSystems,Cybersecurity,37.91,12,7.33,79.36,14.32,Medium,8,35.16
HyperLabSystems,AI,18.87,12,1.38,29.85,24.98,Large,3,23.92
GreenHealthAnalytics,Cybersecurity,169.73,9,3.72,64.68,73.41,Large,19,68.18
NeuroGrowthAnalytics,Cybersecurity,366.74,3,7.79,72.7,7.8,Small,15,12.05
SmartSphereAI,AI,92.19,7,5.65,61.37,5.69,Large,17,51.42
AgriLabAnalytics,Cybersecurity,181.06,14,2.94,1.2,39.56,Medium,6,32.4
FinAIInc,Cybersecurity,378.11,1,4.1,1.21,26.64,Medium,12,73.95
QuantumCloudInc,AgriTech,83.16,1,8.6,66.21,55.03,Medium,19,72.42
QuantumSphereInc,AI,36.54,9,7.84,44.43,47.72,Small,3,67.73
GreenGrowthInnovations,FinTech,493.83,3,8.81,8.29,70.67,Medium,5,35.55
FinDataInnovations,FinTech,223.11,5,6.18,51.98,43.1,Large,3,58.0
HyperLabInc,AgriTech,289.22,5,6.43,4.71,76.6,Small,2,19.91
SmartConnectVentures,Autonomous Vehicles,231.41,12,3.31,68.66,79.43,Small,9,80.14
NextCloudHub,EdTech,240.43,7,8.04,48.13,24.9,Large,20,85.85
InnoDataInc,Healthcare,220.03,12,5.57,44.97,39.24,Medium,9,16.03
GreenAIAI,Cybersecurity,441.06,13,1.64,0.68,22.9,Medium,13,76.58
SmartFinanceInc,Quantum Computing,212.15,2,3.74,43.88,33.9,Small,13,13.31
HyperCloudAnalytics,AgriTech,363.56,12,4.34,12.86,47.44,Small,15,11.52
GreenLabTech,Autonomous Vehicles,417.98,2,3.88,26.71,58.75,Small,18,29.82
GreenCloudInnovations,AgriTech,362.78,14,4.15,54.23,20.37,Large,3,15.25
NextEdgeVentures,EdTech,108.43,3,1.99,39.58,1.44,Small,6,96.81
NeuroAIVentures,Cybersecurity,293.67,13,3.24,49.32,16.59,Medium,16,57.18
SmartFinanceInc,Quantum Computing,493.82,10,2.87,13.51,30.85,Large,8,7.66
AgriCloudAnalytics,AgriTech,474.36,15,1.02,10.82,30.31,Medium,2,59.32
InnoAIInc,AI,17.76,8,6.45,2.91,11.04,Large,12,82.04
NextDataVentures,AI,219.89,7,7.38,42.0,67.74,Large,20,90.19
TechLabHub,FinTech,305.02,1,8.12,35.25,56.33,Medium,1,73.57
QuantumSphereAnalytics,EdTech,36.33,15,4.91,1.81,13.73,Large,5,57.24
InnoLabNetwork,Autonomous Vehicles,28.2,2,7.98,48.8,58.46,Large,4,58.16
TechGrowthTech,Healthcare,151.27,9,3.54,17.86,46.45,Medium,11,1.29
SmartAIInc,FinTech,347.82,12,2.66,78.02,77.36,Medium,7,44.57
SmartHealthInnovations,Healthcare,21.66,7,9.11,66.45,29.65,Large,16,39.22
NeuroHealthAnalytics,Cybersecurity,57.84,11,2.32,42.15,95.67,Large,14,32.03
GreenHealthSolutions,Healthcare,384.09,4,8.09,47.02,76.45,Large,18,98.08
AgriSphereInc,Quantum Computing,199.61,8,1.75,40.2,83.2,Large,10,60.16
SmartDataAnalytics,Quantum Computing,431.55,6,3.51,18.09,24.85,Medium,4,80.82
SmartSphereTech,Cybersecurity,496.09,11,1.57,65.67,53.97,Small,10,95.67
NextConnectNetwork,Quantum Computing,192.25,5,5.45,33.76,0.71,Small,5,68.75
QuantumSphereAnalytics,AgriTech,178.9,1,4.97,50.57,56.62,Medium,17,97.88
TechHealthVentures,AgriTech,41.79,5,7.71,30.39,30.53,Medium,13,9.56
NextGrowthAI,AI,187.23,14,2.19,37.72,56.99,Small,19,47.84
GreenAIAI,Quantum Computing,454.41,6,1.04,70.12,53.34,Small,13,65.87
HyperFinanceVentures,AgriTech,290.08,3,1.86,57.47,85.26,Medium,3,72.53
NextFinanceHub,Cybersecurity,269.07,1,8.91,61.73,83.21,Large,19,96.28
GreenEdgeSystems,AgriTech,119.99,11,6.74,3.38,6.07,Small,15,57.68
InnoConnectAnalytics,FinTech,462.08,10,9.32,5.59,87.35,Medium,2,13.48
QuantumGrowthAI,GreenTech,375.85,6,6.1,23.56,36.77,Large,9,68.76
FinFinanceInnovations,AgriTech,348.56,14,8.26,27.38,24.76,Medium,18,47.05
InnoGrowthSystems,FinTech,429.79,3,1.82,51.04,50.28,Medium,1,74.02
TechAISolutions,Quantum Computing,254.77,2,6.25,23.03,24.45,Medium,2,1.36
HyperLabAI,AgriTech,441.21,3,3.05,20.86,29.46,Large,12,60.11
TechFinanceVentures,GreenTech,464.55,1,3.82,60.37,92.72,Large,14,15.0
GreenFinanceAnalytics,FinTech,29.33,12,4.79,57.87,35.95,Medium,20,76.03
TechEdgeTech,EdTech,10.46,13,3.59,3.36,97.12,Small,6,8.11
FinCloudSystems,Cybersecurity,6.24,7,5.73,63.72,24.84,Small,13,67.11
NextSphereTech,EdTech,66.58,2,2.72,76.2,27.66,Small,13,94.78
AgriLabNetwork,Cybersecurity,412.41,9,7.28,27.37,94.48,Small,16,37.44
AgriGrowthInc,Autonomous Vehicles,453.34,6,8.09,26.38,36.1,Medium,3,9.91
InnoDataNetwork,Cybersecurity,372.25,12,9.12,2.46,54.06,Small,20,84.18
AgriAIAI,Cybersecurity,308.77,11,8.3,68.99,39.23,Medium,3,81.07
InnoConnectSolutions,EdTech,213.75,9,5.69,33.34,88.03,Medium,15,95.24
TechGrowthAI,EdTech,193.97,14,6.76,7.03,8.7,Medium,15,43.08
SmartEdgeInnovations,Healthcare,67.2,2,5.99,20.51,96.36,Small,8,77.78
HyperEdgeSystems,GreenTech,219.37,12,5.5,31.5,48.71,Medium,2,14.1
FinConnectSolutions,AI,446.41,7,5.18,24.65,67.72,Medium,8,63.05
TechCloudInnovations,Quantum Computing,250.11,5,1.35,61.51,2.03,Large,17,29.73
SmartHealthVentures,AI,221.77,3,1.2,32.47,24.59,Large,20,90.2
FinDataInc,EdTech,269.95,4,5.24,5.9,77.5,Small,11,29.3
HyperHealthAnalytics,AgriTech,273.47,3,5.65,68.68,42.91,Small,10,23.43
FinLabInc,Autonomous Vehicles,311.57,15,2.67,50.81,87.65,Medium,16,52.61
SmartEdgeVentures,EdTech,257.19,5,8.2,66.74,67.85,Large,3,38.53
AgriCloudTech,FinTech,188.65,1,4.44,60.79,89.07,Large,3,54.26
FinSphereVentures,GreenTech,74.47,9,8.24,46.65,72.17,Small,10,59.86
QuantumCloudInc,AgriTech,299.96,3,9.0,13.06,15.6,Medium,15,88.04
HyperEdgeInnovations,Quantum Computing,165.53,8,6.87,55.39,37.54,Medium,2,34.31
NeuroDataAI,EdTech,415.49,14,5.41,66.97,81.46,Medium,6,17.37
GreenDataSolutions,Cybersecurity,97.3,7,7.15,8.02,97.09,Medium,15,39.48
AgriLabVentures,EdTech,482.53,1,1.87,4.75,12.7,Small,9,34.51
AgriAISystems,Autonomous Vehicles,103.74,6,3.06,9.95,81.5,Medium,1,46.04
TechDataTech,GreenTech,90.14,13,9.44,8.55,0.71,Medium,12,64.77
AgriDataAI,Healthcare,465.65,9,6.18,59.22,27.55,Small,7,67.12
InnoGrowthHub,Autonomous Vehicles,369.73,7,2.02,10.89,54.71,Medium,16,98.12
TechDataInnovations,Cybersecurity,395.68,11,9.95,20.76,92.32,Medium,16,46.38
SmartCloudInnovations,Cybersecurity,256.98,2,1.03,21.27,96.79,Medium,15,67.51
GreenLabAI,EdTech,215.03,2,1.77,79.96,65.93,Large,12,70.37
FinAISystems,Cybersecurity,253.49,8,5.21,60.03,32.62,Small,15,11.57
HyperHealthInc,Quantum Computing,464.8,7,6.56,45.13,23.75,Medium,3,81.08
InnoEdgeSolutions,AI,304.39,8,5.55,37.16,29.0,Large,19,89.8
TechGrowthHub,Healthcare,235.09,15,2.69,48.1,1.44,Medium,19,16.12
InnoSphereHub,Cybersecurity,356.81,14,1.97,44.79,61.23,Small,6,83.78
NextSphereHub,FinTech,288.78,8,4.64,78.97,87.87,Large,17,9.58
FinAIAI,Quantum Computing,275.32,11,6.98,20.81,44.43,Medium,1,85.88
InnoFinanceInnovations,GreenTech,341.67,3,8.9,62.29,31.18,Large,7,14.82
NextDataSolutions,Autonomous Vehicles,105.68,3,6.44,75.5,61.27,Large,20,73.81
HyperCloudAI,Cybersecurity,299.57,10,9.69,65.99,78.3,Large,9,71.92
NeuroConnectAI,AgriTech,110.15,1,1.96,30.01,3.61,Medium,3,7.75
TechGrowthInc,Cybersecurity,74.15,2,2.86,76.91,2.08,Small,14,88.91
NeuroFinanceSystems,Autonomous Vehicles,396.97,11,1.03,60.59,22.25,Small,16,98.36
QuantumDataSolutions,EdTech,275.19,4,7.05,36.34,80.85,Medium,20,15.2
SmartSphereAI,Quantum Computing,463.22,13,1.35,12.59,71.61,Large,4,21.23
TechCloudInnovations,AI,255.46,7,1.83,74.04,37.27,Medium,3,1.63
FinDataAnalytics,AI,45.79,3,4.61,64.91,72.18,Medium,18,11.43
InnoFinanceSolutions,Autonomous Vehicles,138.14,12,6.15,6.23,79.9,Large,14,92.45
FinConnectVentures,EdTech,283.53,9,3.5,10.35,59.72,Small,10,74.17
FinDataInnovations,Healthcare,27.16,2,2.5,72.31,47.79,Medium,9,0.88
QuantumAIVentures,EdTech,463.37,3,1.04,17.74,88.69,Small,9,60.85
InnoFinanceSolutions,AI,306.98,13,4.26,31.02,82.03,Large,20,93.1
AgriEdgeSystems,FinTech,324.46,3,7.33,3.31,74.26,Small,16,6.04
GreenFinanceTech,AI,387.88,1,2.15,62.38,49.21,Small,16,11.53
InnoHealthSystems,GreenTech,123.96,4,3.37,3.28,95.55,Large,16,88.72
TechLabVentures,AI,334.52,3,6.58,14.18,93.74,Medium,15,45.37
GreenLabInc,AI,112.04,4,7.04,32.11,7.23,Large,17,56.14
InnoCloudAnalytics,EdTech,433.96,3,6.04,75.73,92.18,Small,15,14.86
GreenFinanceVentures,Cybersecurity,36.71,2,6.02,25.87,12.68,Medium,17,17.68
GreenDataSystems,Healthcare,74.56,4,9.71,42.15,3.7,Medium,5,43.85
InnoEdgeAI,AgriTech,187.14,6,8.93,48.27,30.83,Medium,5,70.5
GreenLabAI,FinTech,467.42,3,6.11,4.93,54.91,Large,5,67.84
TechFinanceAI,GreenTech,291.25,1,8.08,4.63,78.34,Medium,2,3.63
AgriCloudSolutions,Healthcare,375.51,12,6.07,75.54,80.75,Large,10,93.49
GreenCloudHub,AI,416.27,2,4.25,53.12,73.84,Medium,16,3.52
AgriDataAI,AgriTech,321.63,2,9.32,34.24,76.33,Small,9,48.39
HyperCloudSolutions,EdTech,145.11,11,7.54,36.89,9.52,Small,20,31.56
TechDataInnovations,EdTech,221.5,8,5.08,42.27,11.17,Large,20,0.17
GreenGrowthHub,GreenTech,160.25,14,5.87,3.87,35.05,Medium,2,34.38
NextHealthTech,Healthcare,424.08,10,2.41,39.98,38.02,Small,17,66.82
QuantumSphereTech,FinTech,312.42,11,4.5,63.35,14.39,Small,19,33.74
GreenCloudVentures,Autonomous Vehicles,368.31,11,2.5,27.57,54.5,Large,7,19.87
NextEdgeInnovations,AgriTech,394.48,12,6.83,8.74,19.69,Small,6,47.09
FinConnectVentures,Cybersecurity,390.58,9,7.68,36.95,2.34,Large,16,89.78
QuantumSphereAI,AgriTech,221.15,13,8.67,25.44,41.12,Large,10,68.56
SmartConnectSolutions,EdTech,372.27,8,6.04,55.33,65.01,Small,5,24.8
SmartConnectTech,EdTech,417.14,14,6.5,29.79,51.37,Large,20,29.08
InnoCloudNetwork,Healthcare,304.77,4,2.09,39.81,42.23,Medium,10,35.1
AgriLabAI,AgriTech,220.18,3,5.09,41.21,17.54,Large,2,0.71
NeuroFinanceVentures,AgriTech,331.04,4,3.08,53.94,66.59,Small,8,21.0
SmartSphereHub,Healthcare,421.3,5,9.73,33.02,69.6,Large,5,60.14
SmartLabAI,AgriTech,420.18,15,3.66,36.22,35.9,Small,1,67.71
QuantumLabAnalytics,Autonomous Vehicles,43.58,2,3.95,17.65,21.81,Large,3,13.54
AgriSphereNetwork,Healthcare,197.8,14,5.57,23.77,78.92,Large,9,56.73
FinGrowthNetwork,Quantum Computing,448.98,6,4.4,69.79,90.44,Medium,20,75.93
TechFinanceAnalytics,Cybersecurity,399.45,12,6.88,57.84,53.48,Medium,5,60.01
AgriFinanceNetwork,FinTech,136.9,14,5.83,2.22,75.85,Large,6,89.66
SmartFinanceTech,FinTech,124.13,14,6.55,36.8,6.06,Medium,13,74.22
InnoEdgeSystems,Autonomous Vehicles,208.36,10,4.73,22.96,89.46,Large,13,82.17
QuantumCloudAnalytics,AgriTech,466.53,7,2.49,50.44,56.6,Large,5,40.32
TechCloudHub,Cybersecurity,172.98,7,2.94,68.33,59.77,Large,16,80.08
NeuroFinanceNetwork,Autonomous Vehicles,401.28,11,3.33,9.44,20.61,Small,10,57.42
NeuroDataSolutions,AgriTech,483.43,3,1.39,22.65,29.59,Large,20,16.48
HyperSphereTech,Quantum Computing,382.89,5,1.99,79.86,21.11,Small,8,19.8
NeuroSphereInc,AI,24.3,6,2.87,62.93,63.58,Medium,2,7.0
NextCloudInc,Quantum Computing,497.21,4,8.72,14.13,20.87,Large,2,40.31
GreenConnectHub,Healthcare,176.38,13,5.69,5.78,11.89,Small,9,95.69
InnoGrowthNetwork,Autonomous Vehicles,435.04,1,4.05,11.88,97.32,Small,15,75.15
InnoGrowthAI,Healthcare,453.83,14,8.49,46.63,71.42,Small,11,97.59
QuantumFinanceNetwork,Healthcare,234.07,15,3.13,12.41,36.46,Small,12,79.3
NeuroFinanceHub,EdTech,403.61,5,5.64,6.52,49.05,Small,18,8.65
GreenLabAI,AgriTech,200.97,12,9.82,7.08,32.03,Large,20,84.39
FinConnectNetwork,FinTech,372.28,9,7.72,34.14,5.08,Large,16,61.51
FinFinanceAnalytics,EdTech,86.02,2,5.0,12.0,35.7,Large,1,93.5
QuantumGrowthTech,Cybersecurity,9.75,1,2.44,25.01,35.68,Medium,15,20.1
QuantumConnectInnovations,Quantum Computing,477.47,12,6.55,38.26,23.7,Small,7,7.86
AgriHealthAI,FinTech,389.88,5,3.51,36.94,62.75,Large,12,85.9
TechConnectAnalytics,GreenTech,301.86,1,6.64,47.23,84.32,Small,12,77.51
FinAIInc,FinTech,107.0,15,5.26,22.62,24.75,Large,16,28.54
NeuroFinanceInnovations,Cybersecurity,136.85,13,1.88,61.83,41.47,Large,14,85.36
SmartLabTech,AI,384.58,1,7.22,3.43,91.27,Medium,14,69.81
AgriSphereHub,AgriTech,75.38,6,9.99,52.72,39.98,Medium,13,61.74
QuantumLabNetwork,Autonomous Vehicles,16.47,14,2.34,75.96,26.77,Large,18,19.06
NeuroSphereTech,FinTech,303.22,4,1.35,51.8,82.17,Small,5,33.84
HyperGrowthSolutions,AgriTech,1.75,4,2.27,72.57,27.4,Small,1,46.88
GreenConnectSystems,AgriTech,271.61,9,7.24,36.42,40.85,Medium,5,79.88
AgriConnectSystems,AgriTech,475.48,3,8.95,49.48,88.25,Medium,8,26.03
FinHealthSolutions,Cybersecurity,440.92,3,2.65,60.31,93.13,Medium,19,19.62
AgriAIHub,GreenTech,32.23,10,1.56,76.61,82.64,Small,19,90.12
HyperSphereInc,FinTech,333.59,5,1.88,21.19,67.96,Small,10,53.37
SmartEdgeSystems,GreenTech,268.58,1,8.43,33.85,53.6,Medium,8,64.1
HyperCloudSystems,Autonomous Vehicles,486.03,14,7.12,43.41,66.55,Medium,12,63.37
InnoEdgeNetwork,AI,282.79,3,5.6,62.08,59.04,Medium,12,53.58
HyperConnectInnovations,GreenTech,117.5,3,2.98,73.24,5.16,Small,8,84.18
FinDataInnovations,Healthcare,60.95,15,7.68,52.99,2.73,Large,14,75.9
NeuroEdgeInc,GreenTech,215.88,8,9.71,64.57,21.43,Medium,6,34.54
NeuroDataInc,GreenTech,467.09,2,5.13,14.45,14.13,Small,1,55.62
QuantumDataAnalytics,FinTech,421.86,1,6.82,27.95,46.76,Small,19,28.68
FinLabInnovations,FinTech,347.52,6,5.47,61.35,63.62,Small,7,15.45
FinConnectAI,Healthcare,158.38,10,9.19,56.58,79.69,Small,2,60.48
HyperGrowthVentures,Quantum Computing,459.91,1,5.76,47.86,31.56,Large,10,68.86
FinCloudInnovations,EdTech,66.88,13,3.01,13.92,91.69,Medium,12,12.37
GreenLabTech,AI,103.08,4,9.05,36.91,39.93,Large,19,11.42
GreenGrowthSystems,Healthcare,133.39,1,2.12,40.46,82.41,Medium,7,57.62
TechAITech,AgriTech,434.73,14,1.41,71.36,42.65,Small,2,47.04
AgriSphereAI,Healthcare,59.77,11,7.2,79.63,94.53,Small,9,14.14
QuantumAISolutions,AgriTech,129.17,12,5.46,64.05,56.17,Medium,10,37.57
TechFinanceInnovations,Quantum Computing,151.09,7,3.09,64.96,84.58,Large,20,13.31
HyperLabAnalytics,FinTech,399.22,11,3.81,33.49,94.21,Large,20,71.44
TechHealthTech,FinTech,88.58,4,7.71,38.46,75.29,Medium,11,25.73
NeuroCloudVentures,AI,189.92,8,3.57,39.68,82.1,Large,9,17.65
HyperGrowthAI,FinTech,21.09,5,1.14,79.09,48.94,Large,20,62.27
SmartAIInc,Autonomous Vehicles,12.92,13,7.47,71.21,94.58,Large,2,34.62
QuantumSphereInc,AgriTech,234.59,3,1.08,69.84,26.09,Large,12,63.33
TechSphereAnalytics,GreenTech,371.54,7,6.31,7.01,60.08,Large,3,30.75
NeuroFinanceVentures,AgriTech,190.43,9,8.17,29.71,28.94,Small,2,47.03
